Name,Sweep,,,
Date,2023-11-17,,,
Time,15:19:15,,,
Instrument,FPC1500 - 103124/003,,,
Firmware Version,V1.80,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Vector Network Analyzer,,,
Meas Mode,Return Loss,,,
Bridge Mode,S11,,,
Format,Magnitude,,,
Calibration State,Calibrated Interpolated,,,
Suppression,Off,,,
Aperture Steps,1,,,
Uplink,- - -,,,
Downlink,- - -,,,
Phase Unwrap,On,,,
Center Frequency,1501000000,Hz,,
Frequency Offset,0,Hz,,
Span,2998000000,Hz,,
Start Frequency,2000000,Hz,,
Stop Frequency,3000000000,Hz,,
Ref Level,0,dB,,
Range,50,dB,,
Trigger Mode,Free Run,,,
Trigger Delay,- - -,,,
Trace Mode,Clear / Write,,,
Trace Detector,Sample,,,
Frequency,0,Hz,,
Number of Points,201,,,
Loss,0,dB/m,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,

Frequency [Hz],Magnitude [dB],Phase [°],,
2000000,-43.032642364502,2.79418992996216,,
16990000,-30.3869781494141,-23.4045734405518,,
31980000,-33.8488922119141,-29.1234092712402,,
46970000,-33.5272941589355,-53.3446655273438,,
61960000,-30.590087890625,-37.7815742492676,,
76950000,-30.565731048584,-42.1603736877441,,
91940000,-28.9606056213379,-55.9176864624023,,
106930000,-28.5618000030518,-61.909049987793,,
121920000,-28.5206108093262,-69.5285110473633,,
136910000,-27.6918716430664,-75.5386352539063,,
151900000,-28.0929946899414,-81.2450637817383,,
166890000,-25.9507675170898,-83.2605361938477,,
181880000,-24.9887752532959,-94.5511169433594,,
196870000,-24.6568374633789,-106.075736999512,,
211860000,-23.2634162902832,-103.953483581543,,
226850000,-23.0203227996826,-102.822937011719,,
241840000,-22.9015121459961,-109.32593536377,,
256830000,-21.8896770477295,-111.265174865723,,
271820000,-22.0686130523682,-117.359802246094,,
286810000,-21.7260704040527,-114.022239685059,,
301800000,-21.3418292999268,-119.324028015137,,
316790000,-21.0024566650391,-125.294952392578,,
331780000,-20.2039623260498,-125.434921264648,,
346770000,-20.2471504211426,-127.127632141113,,
361760000,-19.6012153625488,-129.284149169922,,
376750000,-19.4521789550781,-132.021636962891,,
391740000,-19.3611965179443,-137.110900878906,,
406730000,-18.4790782928467,-138.440277099609,,
421720000,-18.6283130645752,-143.580688476563,,
436710000,-18.6232204437256,-140.998840332031,,
451700000,-18.1454315185547,-145.477279663086,,
466690000,-17.9276523590088,-149.768981933594,,
481680000,-17.172664642334,-151.156433105469,,
496670000,-17.1011772155762,-152.005752563477,,
511660000,-17.2790756225586,-157.71565246582,,
526650000,-17.1717071533203,-157.40641784668,,
541640000,-16.5896873474121,-159.861953735352,,
556630000,-16.5126132965088,-161.611450195313,,
571620000,-16.2530670166016,-163.646133422852,,
586610000,-16.2319984436035,-164.515151977539,,
601600000,-15.5770854949951,-170.622009277344,,
616590000,-16.224271774292,-169.311462402344,,
