Name,Sweep (T1),,,Name,Sweep (T1),,,Name,Sweep (T1),,,
146615905.245347,-19.9274120330811,,,146615905.245347,-20.0919322967529,,,146615905.245347,-20.1456527709961,,,
149069373.94247,-19.9219741821289,,,149069373.94247,-20.0723094940186,,,149069373.94247,-20.1174392700195,,,
151522842.639594,-19.9165344238281,,,151522842.639594,-20.0526866912842,,,151522842.639594,-20.089225769043,,,
153976311.336717,-19.911096572876,,,153976311.336717,-20.0330638885498,,,153976311.336717,-20.0610122680664,,,
156429780.033841,-19.9056568145752,,,156429780.033841,-20.0134391784668,,,156429780.033841,-20.0328006744385,,,
158883248.730964,-19.908088684082,,,158883248.730964,-20.0069885253906,,,158883248.730964,-20.0253143310547,,,
161336717.428088,-19.9245109558105,,,161336717.428088,-20.0239505767822,,,161336717.428088,-20.0546760559082,,,
163790186.125212,-19.9409351348877,,,163790186.125212,-20.0409145355225,,,163790186.125212,-20.0840396881104,,,
166243654.822335,-19.9573593139648,,,166243654.822335,-20.0578765869141,,,166243654.822335,-20.1134014129639,,,
168697123.519459,-19.9737815856934,,,168697123.519459,-20.0748405456543,,,168697123.519459,-20.142765045166,,,
171150592.216582,-19.9902057647705,,,171150592.216582,-20.0918045043945,,,171150592.216582,-20.1721267700195,,,
173604060.913706,-20.0010757446289,,,173604060.913706,-20.1042442321777,,,173604060.913706,-20.1854286193848,,,
176057529.610829,-20.0051555633545,,,176057529.610829,-20.1111602783203,,,176057529.610829,-20.1791019439697,,,
178510998.307953,-20.0092372894287,,,178510998.307953,-20.1180744171143,,,178510998.307953,-20.1727771759033,,,
180964467.005076,-20.0133190155029,,,180964467.005076,-20.1249885559082,,,180964467.005076,-20.1664505004883,,,
183417935.7022,-20.0173988342285,,,183417935.7022,-20.1319026947021,,,183417935.7022,-20.1601238250732,,,
185871404.399323,-20.0214805603027,,,185871404.399323,-20.1388168334961,,,185871404.399323,-20.1537971496582,,,
188324873.096447,-20.0049819946289,,,188324873.096447,-20.1212577819824,,,188324873.096447,-20.1260032653809,,,
190778341.79357,-19.9709568023682,,,190778341.79357,-20.0828495025635,,,190778341.79357,-20.0799217224121,,,
193231810.490694,-19.9369297027588,,,193231810.490694,-20.0444412231445,,,193231810.490694,-20.0338401794434,,,
195685279.187817,-19.9029026031494,,,195685279.187817,-20.0060329437256,,,195685279.187817,-19.9877605438232,,,
198138747.884941,-19.86887550354,,,198138747.884941,-19.9676246643066,,,198138747.884941,-19.9416790008545,,,
200592216.582064,-19.8348484039307,,,200592216.582064,-19.9292163848877,,,200592216.582064,-19.8955974578857,,,
203045685.279188,-19.8347587585449,,,203045685.279188,-19.9356632232666,,,203045685.279188,-19.8943576812744,,,
205499153.976311,-19.8546009063721,,,205499153.976311,-19.9684562683105,,,205499153.976311,-19.9194507598877,,,
207952622.673435,-19.8744430541992,,,207952622.673435,-20.0012474060059,,,207952622.673435,-19.9445457458496,,,
210406091.370558,-19.8942852020264,,,210406091.370558,-20.0340404510498,,,210406091.370558,-19.9696407318115,,,
212859560.067682,-19.9141273498535,,,212859560.067682,-20.0668334960938,,,212859560.067682,-19.9947338104248,,,
215313028.764805,-19.9339694976807,,,215313028.764805,-20.0996246337891,,,215313028.764805,-20.0198287963867,,,
217766497.461929,-19.9655170440674,,,217766497.461929,-20.1235523223877,,,217766497.461929,-20.0478401184082,,,
220219966.159052,-20.0016174316406,,,220219966.159052,-20.1440334320068,,,220219966.159052,-20.0769863128662,,,
222673434.856176,-20.0377178192139,,,222673434.856176,-20.164514541626,,,222673434.856176,-20.1061325073242,,,
225126903.553299,-20.0738182067871,,,225126903.553299,-20.1849937438965,,,225126903.553299,-20.1352787017822,,,
227580372.250423,-20.1099185943604,,,227580372.250423,-20.2054748535156,,,227580372.250423,-20.1644248962402,,,
230033840.947547,-20.1460189819336,,,230033840.947547,-20.2259559631348,,,230033840.947547,-20.1935710906982,,,
232487309.64467,-20.1255054473877,,,232487309.64467,-20.2264385223389,,,232487309.64467,-20.1783256530762,,,
234940778.341794,-20.0917148590088,,,234940778.341794,-20.2222309112549,,,234940778.341794,-20.1526679992676,,,
237394247.038917,-20.0579223632813,,,237394247.038917,-20.2180233001709,,,237394247.038917,-20.127010345459,,,
239847715.736041,-20.0241298675537,,,239847715.736041,-20.2138156890869,,,239847715.736041,-20.1013507843018,,,
242301184.433164,-19.9903373718262,,,242301184.433164,-20.2096080780029,,,242301184.433164,-20.0756931304932,,,
244754653.130288,-19.9565467834473,,,244754653.130288,-20.2054004669189,,,244754653.130288,-20.0500354766846,,,
247208121.827411,-19.9596538543701,,,247208121.827411,-20.1994953155518,,,247208121.827411,-20.0580005645752,,,
249661590.524535,-19.9668617248535,,,249661590.524535,-20.1934032440186,,,249661590.524535,-20.0697021484375,,,
252115059.221658,-19.9740695953369,,,252115059.221658,-20.1873092651367,,,252115059.221658,-20.0814037322998,,,
254568527.918782,-19.9812774658203,,,254568527.918782,-20.1812171936035,,,254568527.918782,-20.0931053161621,,,
257021996.615905,-19.9884834289551,,,257021996.615905,-20.1751232147217,,,257021996.615905,-20.1048069000244,,,
259475465.313029,-19.9956912994385,,,259475465.313029,-20.1690311431885,,,259475465.313029,-20.1165084838867,,,
261928934.010152,-20.0165634155273,,,261928934.010152,-20.1620635986328,,,261928934.010152,-20.1413421630859,,,
264382402.707276,-20.0375747680664,,,264382402.707276,-20.155086517334,,,264382402.707276,-20.1663093566895,,,
266835871.404399,-20.0585842132568,,,266835871.404399,-20.1481094360352,,,266835871.404399,-20.1912784576416,,,
269289340.101523,-20.0795936584473,,,269289340.101523,-20.141134262085,,,269289340.101523,-20.2162456512451,,,
271742808.798646,-20.1006050109863,,,271742808.798646,-20.1341571807861,,,271742808.798646,-20.2412128448486,,,
274196277.49577,-20.1173286437988,,,274196277.49577,-20.1270198822021,,,274196277.49577,-20.2618103027344,,,
276649746.192893,-20.0847549438477,,,276649746.192893,-20.118034362793,,,276649746.192893,-20.2321548461914,,,
